Cluster,R,R/R2500,Z,log(SFR),SFR,R2500,Mass
A478,,,,0.29,1.9498446,,4.19
,2.684854305,0.00471027071052632,0.588045,,,570,
,6.608872135,0.0115945125175439,0.486959,,,570,
,8.777408304,0.0153989619368421,0.426137,,,570,
,11.10083991,0.0194751577368421,0.501711,,,570,
,13.5404431,0.0237551633333333,0.503877,,,570,
,16.15430367,0.0283408836315789,0.576016,,,570,
,20.07509451,0.0352194640526316,0.449079,,,570,
,25.95628077,0.0455373346842105,0.398201,,,570,
,34.77806016,0.061014140631579,0.437827,,,570,
,45.36419544,0.0795863077894737,0.397693,,,570,
,61.24339835,0.107444558508772,0.350442,,,570,
,103.5879394,0.181733227017544,0.362315,,,570,
,198.8631569,0.348882731403509,0.324021,,,570,
A2029,,,,-0.06,0.87096359,,4.94
,4.320357958,0.00949529221538462,1.10884,,,455,
,8.370693543,0.0183971286659341,0.791016,,,455,
,11.88098438,0.0261120535824176,0.724703,,,455,
,15.32376963,0.0336786145714286,0.703768,,,455,
,18.96907166,0.0416902673846154,0.705577,,,455,
,22.15871093,0.0487004635824176,0.696659,,,455,
,25.57618158,0.0562113880879121,0.641797,,,455,
,30.70238756,0.0674777748571429,0.527192,,,455,
,39.92955831,0.087757271010989,0.592742,,,455,
,58.38389983,0.128316263362637,0.504016,,,455,
,119.8983715,0.263512904395604,0.448851,,,455,
,218.3215263,0.47982753032967,0.377761,,,455,
A2142,,,,-0.64,0.229086765,,6.63
,2.888502441,0.0054706485625,0.396943,,,528,
,7.014934499,0.0132858607935606,0.323199,,,528,
,9.18131133,0.0173888472159091,0.309263,,,528,
,11.50242936,0.0217849040909091,0.418749,,,528,
,13.9396033,0.0264007638257576,0.512289,,,528,
,16.55086108,0.0313463278030303,0.287022,,,528,
,20.46774776,0.0387646737878788,0.389014,,,528,
,26.34307779,0.0498921927840909,0.343454,,,528,
,35.15607282,0.06658347125,0.307982,,,528,
,45.73166685,0.0866130053977273,0.33613,,,528,
,56.30726089,0.106642539564394,0.27481,,,528,
,72.17065195,0.136686840814394,0.286544,,,528,
,114.4730281,0.216804977462121,0.318581,,,528,
,177.9265923,0.336982182386364,0.318601,,,528,
A2199,,,,0.09,1.230268771,,2.54
,0.836156697,0.00369980839380531,0.557802,,,226,
,2.128398864,0.00941769408849557,0.637622,,,226,
,2.926548438,0.0129493293716814,0.814171,,,226,
,3.781708696,0.0167332243185841,0.760788,,,226,
,4.679626967,0.0207063140132743,0.760085,,,226,
,5.641682257,0.0249631958274336,0.878441,,,226,
,7.084765192,0.0313485185486726,0.815184,,,226,
,9.249389595,0.0409265026327434,0.812621,,,226,
,12.4963262,0.055293478761062,0.690894,,,226,
,17.36673111,0.0768439429646018,0.637184,,,226,
,24.67233846,0.10916963920354,0.505469,,,226,
,35.6307495,0.157658183628319,0.474639,,,226,
,48.78084275,0.215844436946903,0.420565,,,226,
,61.930936,0.274030690265487,0.415957,,,226,
,75.08102924,0.332216943539823,0.365132,,,226,
,101.3812157,0.44858945,0.388314,,,226,
AWM7,,,,-0.53,0.295120923,,
,0.688263246,0.00280923773877551,0.793408,,,245,
,1.828199248,0.00746203774693878,0.946946,,,245,
,2.667020079,0.0108857962408163,1.26724,,,245,
,3.489709741,0.0142437132285714,1.19177,,,245,
,4.360792912,0.0177991547428571,1.20304,,,245,
,5.122990686,0.0209101660653061,1.26792,,,245,
,5.939631159,0.0242433924857143,1.30152,,,245,
,7.164591868,0.0292432321142857,1.09994,,,245,
,9.002032932,0.0367429915591837,1.09045,,,245,
,11.75819453,0.0479926307346939,0.967475,,,245,
,15.89243692,0.0648670894693878,0.883644,,,245,
,22.09380051,0.0901787775918367,0.724836,,,245,
,31.3958459,0.128146309795918,0.64852,,,245,
,42.55830036,0.173707348408163,0.539965,,,245,
,53.72075482,0.219268387020408,0.544408,,,245,
,64.88320929,0.264829425673469,0.428083,,,245,
Centaurus,,,,-0.79,0.16218101,,
,0.114848788,0.000157976324621733,0.202541,,,727,
,0.315834167,0.000434434892709766,0.202719,,,727,
,0.466573201,0.000641778818431912,0.232214,,,727,
,0.62807931,0.0008639330261348,0.207236,,,727,
,0.870338472,0.00119716433562586,0.229038,,,727,
,1.233727215,0.00169701129986245,0.204745,,,727,
,1.77881033,0.00244678174690509,0.188276,,,727,
,2.596435003,0.00357143741815681,0.226292,,,727,
,3.822872012,0.00525842092434663,0.414575,,,727,
,5.662527525,0.0077888961829436,0.540662,,,727,
,8.422010795,0.0115846090715268,0.757469,,,727,
,12.5612357,0.0172781784044017,1.00901,,,727,
MS07,,,,0.52,3.311311215,,2.31
,3.877481053,0.00850324792324561,0.721706,,,456,
,9.693702632,0.0212581198070175,0.562881,,,456,
,13.57118368,0.0297613677192982,0.574058,,,456,
,16.96397961,0.0372017096710526,0.663338,,,456,
,20.59911809,0.0451735045833333,0.504615,,,456,
,26.05182582,0.0571311969736842,0.539305,,,456,
,34.23088742,0.0750677355701754,0.474277,,,456,
,44.04576133,0.0965915818640351,0.436616,,,456,
,68.58294612,0.150401197631579,0.476746,,,456,
,147.1019374,0.322591967982456,0.322474,,,456,
CygnusA,,,,1.6,39.81071706,,2.18
,16.72001867,0.0362690209761388,1.51324,,,461,
,50.16005601,0.108807062928416,0.586498,,,461,
,100.320112,0.217614125813449,0.394225,,,461,
,167.2001867,0.362690209761388,0.370642,,,461,
HydraA,,,,0.61,4.073802778,,1.14
,1.815336238,0.00502863223822715,0.356233,,,361,
,2.942096661,0.0081498522465374,0.354101,,,361,
,3.928012032,0.0108809197562327,0.423864,,,361,
,4.984349929,0.0138070635152355,0.526542,,,361,
,6.568856775,0.0181962791551247,0.58129,,,361,
,8.945617043,0.0247801026121884,0.509976,,,361,
,12.51075745,0.0346558378116343,0.490553,,,361,
,17.85846805,0.0494694405817175,0.459381,,,361,
,25.88003395,0.0716898447368421,0.43302,,,361,
,35.50591304,0.0983543297506925,0.406566,,,361,
,45.13179213,0.125018814764543,0.393185,,,361,
,54.75767122,0.151683299778393,0.353521,,,361,
,78.82236893,0.218344512271468,0.370886,,,361,
